Sup,Transect,Unit,STP,Stratum,Depth,Munsell 1,Munsell 2,Munsell 3,Munsell,Texture,Horizon,Notes/Inclusions,Site Name,Site Location,Depth Unit,STP Entry Type,Parent STP,Recorded STP Label,GPS Latitude,GPS Longitude
,C,1,C1,2,1.30,10YR,6/,6,10YR6/6,Silty clay loam,Bt,,,,,,,,39.165966,-76.7204694
,C,2,C2,1,0.40,10YR,3/,3,10YR3/3,Silt loam,AC,,,,,,,,39.1659714,-76.7204545
,C,2,C2,2,0.70,10YR,3/,4,10YR3/4,Silt loam,C,"Lead Gl R/W, Twine",,,,,,,39.165976,-76.7204423
,C,2,C2,3,0.80,10YR,4/,6,10YR4/6,Sandy Silt Loam,Bt,,,,,,,,39.165979,-76.7204338
,C,3,C3,1,0.30,10YR,3/,3,10YR3/3,Silty sandy loam,AC,,,,,,,,39.1659814,-76.7204303
,C,3,C3,2,0.70,10YR,,,"10YR3/3,3/6",Silty sandy loam,C,Bluestone gravel,,,,,,,39.1659806,-76.7204304
,C,3,C3,3,0.90,10YR,6/,6,10YR6/6,Silty clay loam,Bt,,,,,,,,39.1659811,-76.7204305
,C,4,C4,1,0.35,10YR,3/,3,10YR3/3,Silt loam,AC,,,,,,,,39.1659813,-76.7204301
,C,4,C4,2,0.60,10YR,3/,4,10YR3/4,Silt loam,C,,,,,,,,39.1659813,-76.72043
,C,4,C4,3,0.80,10YR,4/,6,10YR4/6,Sandy Silt Loam,Bt,,,,,,,,39.1659812,-76.72043
,C,5,C5,1,0.20,10YR,3/,3,10YR3/3,Silty sandy loam,AC,,,,,,,,39.1659811,-76.7204301
,C,5,C5,2,0.80,10YR,,,"10YR3/3,3/6",Silty sandy loam,C,Bluestone gravel,,,,,,,39.1659811,-76.7204301
,C,5,C5,3,0.90,10YR,6/,6,10YR6/6,Silty clay loam,Bt,,,,,,,,39.1659811,-76.7204301
,C,6,C6,1,0.40,10YR,3/,3,10YR3/3,Silt loam,AC,,,,,,,,39.1659811,-76.7204301
,C,6,C6,2,0.60,10YR,3/,4,10YR3/4,Silt loam,C,,,,,,,,39.1659811,-76.7204301
,C,6,C6,3,0.80,10YR,4/,6,10YR4/6,Sandy Silt Loam,Bt,,,,,,,,39.165981,-76.7204301
,C,7,C7,1,0.20,10YR,3/,3,10YR3/3,Silty sandy loam,AC,,,,,,,,39.165981,-76.7204301
,C,7,C7,2,0.60,10YR,,,"10YR3/3,3/6",Silty sandy loam,C,,,,,,,,39.1659877,-76.7204395
,C,7,C7,3,0.90,10YR,5/,1,10YR5/1,Silty clay loam,C2,,,,,,,,39.1659982,-76.7204449
,C,7,C7,4,1.20,10YR,6/,6,10YR6/6,Silty clay loam,Bt,Bluestone gravel,,,,,,,39.166008,-76.720454
,C,8,C8,1,0.40,10YR,3/,3,10YR3/3,Silt loam,AC,Gravel Fill,,,,,,,39.1660174,-76.7204622
,C,9,C9,1,0.30,10YR,3/,3,10YR3/3,Silty sandy loam,AC,,,,,,,,39.1660274,-76.7204714
,C,9,C9,2,0.90,10YR,5/,1,10YR5/1,Silty sandy loam,C,,,,,,,,39.1660362,-76.7204799
,C,9,C9,3,1.10,10YR,6/,6,10YR6/6,Silty clay loam,Bt,,,,,,,,39.1660453,-76.7204869
,D,1,D1,1,0.30,10YR,3/,3,10YR3/3,Silt loam,AC,,,,,,,,39.166052,-76.7204914
,D,1,D1,2,0.60,10YR,3/,4,10YR3/4,Silt loam,C,,,,,,,,39.1660541,-76.7204912
,D,1,D1,3,0.85,10YR,4/,6,10YR4/6,Silt loam,Bt,,,,,,,,39.1660543,-76.7204908
,D,2,D2,1,0.35,10YR,3/,3,10YR3/3,Silt loam,AC,,,,,,,,39.1660547,-76.7204904
,D,2,D2,2,0.60,10YR,3/,4,10YR3/4,Sandy Silt Loam,C,,,,,,,,39.1660552,-76.7204902
